lon,lat,mag,time_string,depth,catalog_id,event_id
-117.4618333,35.6541667,3.5,2019-07-08T09:57:10.970000,9.65,,ci38485391
-117.5103333,35.678,3.83,2019-07-08T16:04:28.280000,4.3,,ci38488719
-117.5003333,35.6671667,3.52,2019-07-08T17:50:01.470000,2.43,,ci38489727
-117.3123333,35.555,3.81,2019-07-08T17:53:47.170000,7.7,,ci38489751
-117.4551667,35.9235,3.56,2019-07-09T04:02:54.020000,7.05,,ci38495767
-117.6143333,35.782,3.58,2019-07-09T08:17:31.570000,9.21,,ci38498615
-117.6768333,35.9543333,3.54,2019-07-09T10:21:52.370000,2.04,,ci38500135
-117.4941667,35.7021667,3.55,2019-07-09T17:11:28.660000,10.55,,ci38504647
-117.8471667,36.0571667,4.07,2019-07-10T00:48:17.580000,1.69,,ci38509663
-117.6901667,35.9015,3.96,2019-07-10T01:43:02.630000,2.4,,ci38510319
-117.4493333,35.6426667,3.61,2019-07-10T03:42:54.900000,10.61,,ci38511719
-117.849,36.0561667,3.69,2019-07-10T07:05:26.260000,1.87,,ci38513943
-117.7076667,35.8758333,3.81,2019-07-10T12:00:05.090000,5.02,,ci38517119
-117.8566667,36.0495,4.18,2019-07-10T12:28:56.960000,1.91,,ci38517471
-117.8598333,36.046,3.52,2019-07-10T14:53:06.080000,1.8,,ci38519135
-117.6816667,35.877,3.56,2019-07-10T15:02:04.290000,4.86,,ci38519231
-117.8825,36.1661667,4.09,2019-07-10T18:49:01.420000,1.12,,ci38521799
-117.875,36.1695,3.7,2019-07-10T18:51:35.250000,2.27,,ci38521815
-117.8541667,36.0553333,3.51,2019-07-10T18:51:43.830000,7.76,,ci37265572
-117.5248333,35.6646667,4.17,2019-07-10T20:09:51.950000,9.19,,ci38522647
-117.8835,36.1731667,3.87,2019-07-10T22:15:48.260000,0.98,,ci38523943
-117.8856667,36.1713333,3.66,2019-07-10T22:15:53.250000,2.05,,ci37265580
-117.4891667,35.6723333,3.62,2019-07-10T23:58:59.200000,4.36,,ci38525047
-117.884,36.1766667,4.52,2019-07-11T00:14:37.320000,0.93,,ci38525207
-117.8763333,36.1536667,4.37,2019-07-11T00:15:39.220000,2.11,,ci38525215
-117.721,35.9411667,3.51,2019-07-11T02:35:22.450000,2.44,,ci38526799
-117.8488333,36.0563333,4.3,2019-07-11T04:10:01.370000,2.07,,ci38527863
-117.2788333,35.9558333,3.57,2019-07-11T04:45:31.010000,4.66,,ci38528167
